nowtime,current_price,old_price,price_per_unit,other,product_id
2024-09-26 10:07:56,8.98,,,,20319
2024-12-03 09:53:51,,,,,20488
2024-08-23 11:54:40,7.49,,$1.50/100g,,44871281
2024-08-24 12:09:25,7.49,,$1.50/100g,,44871281
2024-09-05 11:02:47,6.0,,$1.20/100g,Out of Stock,42397296
2024-09-06 13:25:54,6.0,,$1.20/100g,Out of Stock,42397296
2024-10-31 08:29:25,6.49,,$1.62 each,,52877918
2024-11-01 10:42:05,6.49,,$1.62 each,,52877918
2024-08-23 11:45:08,72.0,,,,57336519
2024-08-24 11:56:02,72.0,,,,57336519
2025-11-03 09:51:00,6.99,,,,57521955
2025-11-04 11:51:00,6.99,,,,57521955
2024-06-10 23:39:32,6.0,,,,58056009
2024-06-12 00:48:49,6.0,,,,58056009
2025-10-05 19:31:00,77.99,,,,58991980
2025-10-06 12:54:00,77.99,,,,58991980
2024-01-01 12:00:00,648.0,,$324.00/100ml,,20319
-4713-11-24 12:00:00,8.98,,,,20319
